production_id,name,obra_title,obra_id,productora_name,synopsis,direction,theater,address,barrio,ciudad_partido,localidad,provincia,start_date,end_date,image_id,image_url,instagram,website,source,is_new
1,La Revista del Cervantes,La Revista del Cervantes,95254,Teatro Nacional Cervantes,"Nuestro teatro nacional se lo debía a la revista. Con una puesta espléndida, esta gran producción celebra el género que supo reunir lo popular y lo artístico en escena.",Pablo Maritano,Teatro Nacional Cervantes,Libertad 815,,Capital Federal,Capital Federal,Buenos Aires,2026-03-01,2026-05-31,1,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/37/000297537.jpg,,https://alternativateatral.com/obra95254-la-revista-del-cervantes,seed.sql,false
2,Doradas — Temporada 2026,Doradas,99872,Teatro Nacional Cervantes,"Cinco actrices populares, reconocidas y con historias muy distintas entre sí, se reúnen a ensayar una obra de teatro. Pero detrás de cada ensayo hay algo que cada una carga y que se va revelando.",José María Muscari,Teatro Nacional Cervantes,Libertad 815,,Capital Federal,Capital Federal,Buenos Aires,2026-03-19,2026-05-24,2,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/68/000311468.jpg,,https://alternativateatral.com/obra99872-doradas,seed.sql,false
3,Doradas — Temporada 2010,Doradas,,Teatro Nacional Cervantes,"Cinco actrices populares que actuaron toda la vida pero que ahora en su madurez artística llegan por primera vez al prestigio del CERVANTES Una obra escrita con la colaboración de la inteligencia artificial que combina confesiones personales e ingredientes retro Un manifiesto sobre la fama , el paso del tiempo y las emociones maquilladas DORADAS es quizás el pretexto para verlas a ellas nuevamente refulgentes",José María Muscari,Teatro del Sur,,,Capital Federal,Capital Federal,Buenos Aires,2010-04-01,2010-11-30,2,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/68/000311468.jpg,,,seed.sql,false
4,El ávido espectador,El ávido espectador,99674,Teatro Nacional Cervantes,"Un grupo de amigos se reúne para ver una película. Mientras esperan que todos lleguen y que empiece la función, lo que se va revelando es mucho más que una tarde de cine.",Carolina Adamovsky,Teatro Nacional Cervantes,Libertad 815,,Capital Federal,Capital Federal,Buenos Aires,2026-03-01,2026-05-10,3,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/24/000310824.jpg,,https://alternativateatral.com/obra99674-el-avido-espectador,seed.sql,false
5,Nacha & Favero,Nacha & Favero,99811,Teatro Nacional Cervantes,Porque hay historias que todavía no se han contado. Nacha Guevara y Alberto Favero protagonizan un espectáculo íntimo que repasa su historia de amor y creación artística.,,Teatro Nacional Cervantes,Libertad 815,,Capital Federal,Capital Federal,Buenos Aires,2026-04-08,2026-05-27,4,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/08/000311208.jpg,,https://alternativateatral.com/obra99811-nacha-favero,seed.sql,false
6,"A navegar, Piratas!","A navegar, Piratas!",99604,Paseo La Plaza,Una aventura teatral para toda la familia donde el público es parte de la historia. Los piratas necesitan ayuda para encontrar el tesoro y los chicos son los héroes.,Leandro Montgómery,Paseo La Plaza,Av Corrientes 1660,,Capital Federal,Capital Federal,Buenos Aires,2026-01-01,2026-03-29,5,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/09/000311109.jpg,,https://alternativateatral.com/obra99604-a-navegar-piratas,seed.sql,false
7,La bella durmiente y el ladrón,La bella durmiente y el ladrón,,Paseo La Plaza,"En un reino muy, pero muy lejano, se celebra con alegría el nacimiento de la tan esperada princesa. Todo el pueblo es invitado a la gran fiesta… excepto el hada malvada, que por un imperdonable error queda fuera del festejo. Enfurecida, lanza un temible hechizo sobre la pequeña princesita. Pero las hadas madrinas, ingeniosas y amorosas, logran esconder dentro de la maldición una chispa de esperanza. Años más tarde, en el día de su cumpleaños número dieciséis, nuestra heroína se cruza inesperadamente con un joven aventurero, simpático y audaz, quien, junto a su inseparable y divertido secuaz Mercurio, la arrastrará a vivir una aventura que cambiará su destino para siempre. Entre los disparatados consejos de sus hadas madrinas, la constante amenaza del hada malvada y el descubrimiento de su propio coraje, Aurora aprenderá que ser princesa no es solo esperar… sino atreverse.",,Paseo La Plaza,Av Corrientes 1660,,Capital Federal,Capital Federal,Buenos Aires,2026-03-01,2026-07-31,6,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/62/000309562.jpg,,https://alternativateatral.com/obra23032-la-bella-durmiente-y-el-ladron,seed.sql,false
8,Experiencia Queen — Greatest Hits Tour 2026,Experiencia Queen — Greatest Hits Tour 2026,99326,,"El show promete llevar al público a revivir los grandes éxitos de Queen con un despliegue audiovisual, vestuario y performance que homenajea la legendaria banda inglesa.",,Teatro Maipú,Maipú 380,,Banfield,Banfield,Buenos Aires,2026-06-04,2026-06-04,7,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/66/000309666.jpg,,https://alternativateatral.com/obra99326-experiencia-queen-greatest-hits-tour-2026,seed.sql,false
9,"Alma Mahler — Sinfonía de vida, arte y seducción","Alma Mahler — Sinfonía de vida, arte y seducción",89650,,"Un texto poético que cuenta la potente historia de Alma Mahler, musa y protagonista de la vida cultural europea de principios del siglo XX.",Pablo Gorlero,Centro Cultural de la Cooperación,Corrientes 1543,,Capital Federal,Capital Federal,Buenos Aires,2026-03-01,2026-04-26,8,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/60/000312060.jpg,,https://alternativateatral.com/obra89650-alma-mahler-sinfonia-de-vida-arte-y-seduccion,seed.sql,false
10,Tamorto (romance de arlequín y la muerte),Tamorto (romance de arlequín y la muerte),,,"“Arlequín está enfermo. Una adivinadora le predijo que el día que dedicara más tiempo al sueño que a la botella, moriría a las doce de la noche en punto. Son las ocho y aún duerme. A Pierrot, el mejor amigo de Arlequín, se le ocurre retrasar el reloj, aunque sea dos horas para que lo atienda la Dottora, cosa que a Arlequín le divierte. Colombina, la mujer de Pierrot, tiene una cita furtiva con Arlequín. Pierrot, lleno de celos decide vengarse adelantando el reloj.La muerte llega a las 12:00 de la noche...Las Cartas están echadas.”",,Auditorio AIC Abasto,Humahuaca 3640,Almagro,CABA,Almagro - CABA,CABA,2026-03-01,2026-05-30,9,https://img.alternativateatral.com/scripts/es/fotos/obras/100x75/22/000272422.jpg,,https://alternativateatral.com/obra29844-tamorto-romance-de-arlequin-y-la-muerte,seed.sql,false
